종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3435","-90","-2.55","158942647155"
"054620","APS홀딩스","KOSDAQ","금융","14100","150","1.08","287558516100"
"265520","AP시스템","KOSDAQ","반도체","24150","400","1.68","369046317150"
"211270","AP위성","KOSDAQ","통신장비","14950","100","0.67","225480444800"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","2115","25","1.20","143100967680"
"035760","CJ ENM","KOSDAQ","방송서비스","126600","-3800","-2.91","2776230896400"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","37900","-650","-1.69","222801668800"
"051500","CJ프레시웨이","KOSDAQ","유통","41400","-50","-0.12","491483660400"
"058820","CMG제약","KOSDAQ","제약","3210","-50","-1.53","445844103240"
"023460","CNH","KOSDAQ","금융","2470","10","0.41","91884000000"
"056730","CNT85","KOSDAQ","유통","1550","0","0.00","109591063600"
"065770","CS","KOSDAQ","통신장비","2600","20","0.78","50468938000"
"083660","CSA 코스믹","KOSDAQ","화학","2065","-25","-1.20","81071524170"
"404950","DB금융스팩10호","KOSDAQ","금융","2175","15","0.69","12702000000"
"367340","DB금융스팩8호","KOSDAQ","금융","2200","-15","-0.68","13310000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2205","15","0.68","10672200000"
"068790","DMS","KOSDAQ","기계·장비","6530","-30","-0.46","160462088330"
"241520","DSC인베스트먼트","KOSDAQ","금융","5640","30","0.53","156856312920"
"245620","EDGC","KOSDAQ","기타서비스","3965","100","2.59","333281766415"
"037370","EG","KOSDAQ","건설","12900","-150","-1.15","106908453300"
"050120","ES큐브","KOSDAQ","유통","5810","90","1.57","78807339660"
"084180","EV수성","KOSDAQ","기계·장비","1635","25","1.55","100538728395"
"214270","FSN","KOSDAQ","출판·매체복제","6600","-110","-1.64","184170043200"
"130500","GH신소재","KOSDAQ","섬유·의류","5420","100","1.88","78834181840"
"900290","GRT","KOSDAQ","금융","1235","-5","-0.40","83208125000"
"083450","GST","KOSDAQ","반도체","33600","750","2.28","313076232000"
"297890","HB솔루션","KOSDAQ","기계·장비","19300","1350","7.52","322561922900"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2505","0","0.00","197871017130"
"195940","HK이노엔","KOSDAQ","제약","41150","-600","-1.44","1189420133850"
"028300","HLB","KOSDAQ","운송장비·부품","29350","-1000","-3.29","3129005378400"
"067630","HLB생명과학","KOSDAQ","기타서비스","10050","-200","-1.95","959755714050"
"047920","HLB제약","KOSDAQ","기타서비스","9640","-250","-2.53","256664344480"
"115450","HLB테라퓨틱스","KOSDAQ","유통","8870","-180","-1.99","277943321570"
"036640","HRS","KOSDAQ","화학","8020","-240","-2.91","131165496000"
"335870","IBKS제12호스팩","KOSDAQ","금융","2445","0","0.00","7628400000"
"351340","IBKS제13호스팩","KOSDAQ","금융","2375","30","1.28","12278750000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2260","10","0.44","7706600000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2350","-5","-0.21","6392000000"
"095340","ISC","KOSDAQ","반도체","37300","1550","4.34","649000268300"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","3020","-185","-5.77","105716661340"
"067290","JW신약","KOSDAQ","제약","4485","-110","-2.39","206881554945"
"035900","JYP Ent.","KOSDAQ","오락·문화","57600","-1300","-2.21","2044655539200"
"318000","KBG","KOSDAQ","화학","8280","-20","-0.24","68142951000"
"024840","KBI메탈","KOSDAQ","금속","2060","-50","-2.37","67878746880"
"024120","KB오토시스","KOSDAQ","운송장비·부품","7090","-90","-1.25","81535000000"
"021320","KCC건설","KOSDAQ","건설","9560","10","0.10","204584000000"
"036670","KCI","KOSDAQ","화학","9380","-160","-1.68","105712600000"
"044180","KD","KOSDAQ","건설","1275","0","0.00","31682017275"
"151860","KG ETS","KOSDAQ","기타서비스","16050","0","0.00","577800000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","9140","-100","-1.08","354865691520"
"035600","KG이니시스","KOSDAQ","소프트웨어","17950","-450","-2.45","500884590300"
"226360","KH 건설","KOSDAQ","건설","868","-10","-1.14","66141225892"
"111870","KH 일렉트론","KOSDAQ","일반전기전자","622","4","0.65","79774517322"
"060720","KH바텍","KOSDAQ","IT부품","21100","150","0.72","499594026200"
"122450","KMH","KOSDAQ","방송서비스","8420","-40","-0.47","381728816880"
"052900","KMH하이텍","KOSDAQ","반도체","1650","-10","-0.60","85186275900"
"058400","KNN","KOSDAQ","방송서비스","1370","0","0.00","181428716400"
"114450","KPX생명과학","KOSDAQ","제약","6400","-10","-0.16","96000000000"
"060370","KT서브마린","KOSDAQ","건설","5930","-30","-0.50","129867000000"
"108320","LX세미콘","KOSDAQ","반도체","143600","-700","-0.49","2335553480000"
"160550","NEW","KOSDAQ","오락·문화","10550","-250","-2.31","294409418300"
"053290","NE능률","KOSDAQ","출판·매체복제","7830","-180","-2.25","129400983810"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","14000","150","1.08","207585700000"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","22850","-1150","-4.79","917669961350"
"030190","NICE평가정보","KOSDAQ","기타서비스","18100","-650","-3.47","1098938242000"
"024940","PN풍년","KOSDAQ","금속","6880","450","7.00","68800000000"
"218410","RFHIC","KOSDAQ","일반전기전자","30500","-500","-1.61","816986237000"
"327260","RF머트리얼즈","KOSDAQ","기타제조","13150","-450","-3.31","106484715550"
"091340","S&K폴리텍","KOSDAQ","IT부품","5360","40","0.75","62731944560"
"019550","SBI인베스트먼트","KOSDAQ","금융","1515","-60","-3.81","245530861125"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","6090","-120","-1.93","146479968600"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","7740","-230","-2.89","166127915700"
"151910","SBW생명과학","KOSDAQ","IT부품","4480","5","0.11","793560848640"
"036120","SCI평가정보","KOSDAQ","기타서비스","3750","20","0.54","133125000000"
"099220","SDN","KOSDAQ","유통","2040","-50","-2.39","110377808760"
"036540","SFA반도체","KOSDAQ","반도체","6750","-100","-1.46","1110107045250"
"255220","SG","KOSDAQ","비금속","1865","10","0.54","83272080285"
"040610","SG&G","KOSDAQ","운송장비·부품","2875","-35","-1.20","98000688500"
"049470","SGA","KOSDAQ","소프트웨어","1040","-25","-2.35","54976738960"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","1225","-20","-1.61","57804349400"
"016250","SGC이테크건설","KOSDAQ","건설","56100","-100","-0.18","145828864500"
"337450","SK5호스팩","KOSDAQ","금융","2180","0","0.00","9395800000"
"340350","SK6호스팩","KOSDAQ","금융","2195","-5","-0.23","12533450000"
"048550","SM C&C","KOSDAQ","방송서비스","4235","-140","-3.20","404896153200"
"063440","SM Life Design","KOSDAQ","출판·매체복제","2740","-25","-0.90","125023881960"
"950180","SNK","KOSDAQ","출판·매체복제","37100","0","0.00","781392780000"
"289080","SV인베스트먼트","KOSDAQ","금융","3380","25","0.75","179930920000"
"089230","THE E&M","KOSDAQ","인터넷","649","7","1.09","112569173959"
"161570","THE MIDONG","KOSDAQ","정보기기","1575","-15","-0.94","24542957250"
"192410","THQ","KOSDAQ","통신장비","2530","15","0.60","73192644470"
"032540","TJ미디어","KOSDAQ","일반전기전자","8040","120","1.52","112010136360"
"048770","TPC","KOSDAQ","기계·장비","4615","100","2.21","71432534485"
